format,freq
Religious,92.7
Urban,103.1
Hip Hop,103.5
Chr. Contemp.,102.1
Chr. Contemp.,101.3
Religious,97.9
Variety,102.9
Religious,89.9
Hot AC,96.1
Hip Hop,107.9
Classic Hits,104.9
Country,90.7
Public,93.1
Talk,107.3
A.C.,99.5
Urban,105.3
Spanish,91.9
Country,93.5
Top 40,101.3
Rock,104.3
Spa. Chrstn.,89.1
Spa. Chrstn.,93.3
Talk,101.1
Spa. Chrstn.,101.5
Talk,103.7
Talk,103.7
Spanish,103.7
Unknown,104.5
Unknown,95.5
Spanish,104.9
Spanish,106.9
Spa. Pop,96.1
Rock,105.7
Rock,105.7
Rock,105.7
Top 40,107.3
Top 40,107.3
Top 40,107.3
Religious,88.1
Urban,102.9
Urban,102.9
Urban,102.9
Urban,102.9
Spanish,89.9
Top 40,95.1
Spanish,101.5
Spa. Chrstn.,104.1
Spa. Chrstn.,104.1
Spa. Chrstn.,104.1
Spa. Chrstn.,104.1
Spanish,105.5
Spanish,95.7
Spanish,90.5
Classic Hits,99.5
Hot AC,99.9
Hot AC,99.9
A.C.,97.5
A.C.,97.5
A.C.,105.1
Classical,91.3
Spanish,100.3
Spanish,90.1
Spanish,104.7
Spanish,104.7
Spanish,104.7
Chr. Contemp.,88.5
Spanish,106.9
Spanish,106.9
Top 40,102.3
A.C.,106.5
Spa. Chrstn.,91.7
Spa. Chrstn.,96.9
Spa. Chrstn.,96.9
Spa. Chrstn.,96.9
Spa. Chrstn.,101.7
Spa. Chrstn.,101.5
Spa. Chrstn.,97.7
Spa. Chrstn.,97.7
Spanish,92.5
Classic Hits,97.3
Classic Hits,97.3
Spanish,99.1
Spa. Chrstn.,88.9
Spa. Chrstn.,88.9
Spa. Chrstn.,98.7
Spanish,101.1
Spanish,106.1
Public,89.7
Public,88.3
Spa. Pop,96.5
Top 40,102.5
Top 40,102.5
Spa. Chrstn.,92.9
Spa. Chrstn.,92.9
Top 40,98.7
Top 40,98.7
Variety,103.3
Variety,103.3
Spanish,107.7
Spanish,107.7
Variety,90.1
Unknown,98.1
Spanish,103.7
Spanish,100.7
Spanish,100.7
Spanish,100.7
Spa. Chrstn.,92.1
A.C.,101.9
Spa. Chrstn.,91.7
Spanish,92.1
Spanish,93.3
Spanish,93.7
Spanish,93.7
Spa. Chrstn.,98.3
Spa. Chrstn.,98.3
Public,89.1
Unknown,90.7
Religious,91.5
Religious,89.9
A.A.A.,97.9
Public,88.1
Hot AC,100.3
A.C.,103.9
Talk,93.3
Talk,93.3
Religious,107.9
Hot AC,105.1
Religious,88.1
Classic Rock,104.3
Hot AC,92.7
Top 40,100.3
Religious,90.9
Public,89.3
Religious,91.9
A.C.,95.5
Hot AC,93.9
Hip Hop,97.5
Top 40,104.7
Public,88.5
A.C.,97.1
Classic Rock,100.3
News/Talk,90.1
Classical,90.9
Urban,96.3
Top 40,99.5
Hip Hop,93.9
Country,98.7
Public,89.3
Hot AC,107.3
Alternative,101.1
Top 40,93.7
Public,97.1
Public,99.1
Public,102.5
Religious,88.1
Religious,91.3
Urban,88.9
Top 40,93.1
Religious,89.7
Religious,104.7
Variety,92.1
Chr. Contemp.,88.1
Religious,88.1
Public,88.5
Religious,88.9
Public,89.1
Variety,89.1
Classical,89.5
Religious,89.7
Chr. Contemp.,89.9
Chr. Contemp.,89.9
Chr. Contemp.,89.9
Religious,90.3
Religious,90.5
Chr. Contemp.,90.7
Public,90.7
Chr. Contemp.,90.9
Public,91.3
Religious,91.3
Religious,91.3
Public,91.5
Oldies,91.5
Religious,91.7
Chr. Contemp.,91.7
Oldies,91.9
Public,91.9
Classical,91.9
Chr. Contemp.,92.1
Country,92.3
Country,92.7
Chr. Contemp.,93.1
Public,93.3
Oldies,93.3
Public,93.5
Religious,93.5
Oldies,93.9
Public,94.1
Chr. Contemp.,94.3
Chr. Contemp.,94.3
Religious,94.5
Reg. Mex.,94.7
Variety,94.7
Oldies,94.7
Chr. Contemp.,95.1
Rock,95.3
Chr. Contemp.,95.3
Classic Rock,95.9
Classic Rock,96.3
Talk,96.3
Talk,102.5
Chr. Contemp.,96.7
Variety,96.7
Chr. Contemp.,96.9
Country,97.1
Chr. Contemp.,97.3
Oldies,97.3
Sports,97.5
A.C.,97.7
Top 40,98.5
Chr. Contemp.,99.3
Chr. Contemp.,88.5
Chr. Contemp.,99.3
Oldies,99.7
Religious,100.3
Public,100.3
Public,104.3
Classic Rock,100.9
Oldies,101.5
Chr. Contemp.,101.7
Chr. Contemp.,90.9
Chr. Contemp.,101.7
College,102.3
Country,102.3
Sports,102.5
Chr. Contemp.,102.5
A.C.,102.9
Country,102.9
Country,103.1
Oldies,103.3
Oldies,101.1
Public,103.9
Public,103.5
Public,103.9
Public,103.9
Country,104.1
Reg. Mex.,104.1
Country,104.7
Public,104.9
Public,104.9
A.C.,104.9
Oldies,105.5
A.A.A.,105.5
Talk,105.7
News/Talk,105.9
News/Talk,104.7
Classic Hits,105.9
Classic Hits,105.9
Public,105.9
Country,106.3
Country,106.3
Chr. Contemp.,106.3
Classic Hits,106.3
News/Talk,106.7
Public,107.1
Public,107.5
College,107.1
Country,107.1
Hot AC,107.3
Public,107.3
Chr. Contemp.,107.5
Chr. Contemp.,107.7
Country,107.7
Classic Rock,98.3
Chr. Contemp.,88.1
Top 40,97.3
Classic Rock,104.1
Classic Rock,102.9
Classic Rock,106.9
Religious,89.7
Rock,93.7
Country,102.1
Country,103.3
Spa. Pop,106.3
Public,90.5
Public,89.9
Classic Rock,104.1
Country,95.1
Country,102.1
Chr. Contemp.,90.3
Country,92.1
College,88.1
Oldies,97.7
Classic Hits,101.5
Classic Hits,97.5
Country,101.7
Chr. Contemp.,88.7
Public,91.7
Country,105.3
Country,98.3
Public,89.9
Religious,95.5
Rock,93.1
Religious,88.1
Country,92.1
Country,104.3
Religious,88.1
Oldies,98.5
Country,100.7
Rock,104.5
Hot AC,102.5
Variety,89.1
Classic Hits,92.7
Rock,101.9
Top 40,96.7
Alternative,92.7
Country,93.5
Unknown,105.1
Hot AC,96.1
Hot AC,99.9
Religious,88.3
Hot AC,99.3
Country,100.1
Country,93.3
Country,106.3
Country,96.5
Country,96.5
A.C.,106.1
Chr. Contemp.,88.9
Top 40,104.9
Top 40,104.9
Chr. Contemp.,89.1
Religious,91.9
Chr. Contemp.,90.9
Chr. Contemp.,89.1
Oldies,94.5
Chr. Contemp.,88.3
Hot AC,106.7
A.A.A.,96.9
Religious,91.1
Top 40,92.5
Reg. Mex.,104.7
Religious,88.5
College,89.1
Country,99.1
Country,103.9
Gospel,91.1
Religious,88.9
Country,100.7
A.C.,102.3
Country,101.1
Chr. Contemp.,88.1
Chr. Contemp.,91.9
Public,88.1
Country,103.7
Classic Hits,105.3
Country,96.5
Country,103.3
Oldies,88.9
Sports,93.5
Chr. Contemp.,91.7
Variety,88.7
Rock,96.7
Rock,101.1
Classic Rock,98.7
Oldies,104.9
A.C.,98.7
Classic Rock,107.9
Classic Rock,99.7
Public,91.3
Hot AC,97.9
Country,93.9
Religious,89.3
Rock,100.5
Rock,99.3
Chr. Contemp.,89.5
Top 40,104.7
Chr. Contemp.,97.1
Oldies,91.9
Public,91.3
Public,91.3
Public,91.5
Public,89.7
Public,90.9
Public,89.9
Public,90.3
Public,88.7
Public,90.5
Public,90.1
Public,91.9
Public,91.3
Public,90.7
Public,90.9
Public,90.9
Classical,88.5
Public,90.5
Religious,89.3
Variety,89.9
Adult Hits,107.1
Variety,89.5
College,91.3
Unknown,106.5
Religious,90.3
Sports,99.1
Oldies,93.5
Country,95.5
Country,97.9
Unknown,97.7
Chr. Contemp.,102.9
Classic Rock,106.1
Top 40,104.5
Hot AC,95.1
Country,103.1
Country,93.7
Country,93.7
Oldies,105.7
A.C.,92.9
Hot AC,101.7
Classic Rock,95.3
Country,100.3
Oldies,105.5
Classical,88.5
Classic Hits,97.9
Classic Rock,94.9
Classic Rock,94.9
Hot AC,98.3
Religious,89.5
News/Talk,92.3
Chr. Contemp.,93.7
Chr. Contemp.,97.9
Country,102.5
Public,91.3
Religious,88.5
Chr. Contemp.,88.5
Religious,88.7
Religious,88.7
Religious,88.9
Chr. Contemp.,89.1
Religious,89.3
Religious,89.5
Religious,89.7
Religious,90.1
Religious,90.1
Religious,90.3
Public,90.9
Religious,91.1
Religious,91.3
Religious,91.5
Chr. Contemp.,91.9
Religious,92.1
Country,92.1
Chr. Contemp.,92.3
Sports,92.5
Sports,99.1
Religious,92.7
Country,92.9
Country,93.1
Religious,93.1
A.A.A.,93.3
Classic Rock,93.5
Chr. Contemp.,93.5
Reg. Mex.,93.7
Chr. Contemp.,93.9
Sports,93.9
Religious,94.1
Religious,94.3
Chr. Contemp.,94.3
Classic Rock,94.7
Religious,94.9
Rock,95.1
Religious,95.1
News/Talk,95.1
Sports,95.3
Religious,95.3
Classic Hits,95.3
Chr. Contemp.,95.3
Chr. Contemp.,95.5
Country,95.5
Hot AC,96.1
Religious,96.1
Sports,96.1
Sports,96.5
Country,96.3
Country,103.3
Oldies,101.9
Chr. Contemp.,96.9
Reg. Mex.,96.9
Unknown,97.1
Unknown,106.3
Chr. Contemp.,97.3
Reg. Mex.,97.9
Classic Hits,98.7
Religious,98.7
Sports,98.7
Classic Hits,98.7
Chr. Contemp.,98.7
Reg. Mex.,98.9
A.C.,99.1
Classic Rock,99.1
Public,99.1
Oldies,99.7
Oldies,92.9
A.C.,99.7
Country,99.7
Oldies,99.9
Oldies,100.3
Religious,100.5
Religious,100.7
Sports,100.7
Sports,96.9
Religious,100.7
Religious,100.9
Sports,100.9
Public,100.9
Religious,101.1
Country,101.3
Religious,101.3
Chr. Contemp.,101.5
Religious,101.5
Religious,101.5
News/Talk,101.5
Chr. Contemp.,101.7
Chr. Contemp.,101.7
Public,101.7
Religious,101.7
News/Talk,101.7
Sports,101.9
Religious,101.9
Religious,101.9
Chr. Contemp.,102.1
Sports,102.1
Classic Hits,102.3
Religious,102.3
Religious,102.5
Religious,102.5
Religious,102.5
News/Talk,102.7
News/Talk,98.7
Rock,102.9
Religious,102.9
Religious,103.1
Religious,103.1
News/Talk,103.1
Nostalgia,103.3
Religious,103.3
Hip Hop,103.3
Hip Hop,103.3
Nostalgia,103.3
Chr. Contemp.,103.3
Public,103.3
News/Talk,103.5
News/Talk,103.5
Oldies,103.7
Religious,103.9
Religious,103.9
Chr. Contemp.,104.1
Classic Hits,104.3
Religious,104.7
Sports,105.1
Chr. Contemp.,105.3
A.C.,105.3
Top 40,105.7
A.C.,105.9
Chr. Contemp.,106.1
Religious,106.3
Rock,106.3
News/Talk,106.3
Gospel,96.1
Religious,107.1
Religious,107.3
Religious,107.3
Religious,107.5
Country,107.7
Chr. Contemp.,107.7
Nostalgia,107.7
Public,107.9
Country,106.1
Classic Rock,105.7
Hot AC,97.7
Country,106.7
Classic Hits,102.3
Reg. Mex.,92.7
Country,104.5
Variety,90.3
Adult Hits,107.9
Nostalgia,96.7
A.C.,102.9
Country,93.7
Oldies,93.7
Top 40,100.7
Top 40,104.7
Country,95.9
Country,95.9
K-12,89.1
Country,93.3
Rock,107.5
College,104.5
A.C.,105.7
Chr. Contemp.,89.5
Classical,89.5
Country,97.1
Country,98.3
Hot AC,106.1
Country,93.7
Country,100.1
Reg. Mex.,104.7
Country,101.9
Country,99.7
Chr. Contemp.,91.7
Country,95.7
Country,99.3
Variety,93.9
Classic Hits,99.9
Variety,91.9
Sports,100.5
Hot AC,92.7
Sports,107.5
Rock,92.9
Religious,105.9
Chr. Contemp.,91.9
Chr. Contemp.,91.5
Chr. Contemp.,89.3
Public,88.7
A.C.,106.3
Sports,105.5
A.C.,97.7
Country,107.1
Religious,91.3
Country,93.5
Country,97.7
Classic Rock,103.3
Classic Rock,95.3
Religious,88.5
Public,91.1
Public,89.1
Public,90.7
Public,90.3
Rock,106.5
Country,97.3
Public,91.9
Religious,91.3
Public,91.3
Public,88.1
Religious,88.1
Public,90.3
Public,89.7
Sports,96.5
Rock,102.9
Public,90.9
Public,89.9
Public,89.9
Country,101.1
Classic Hits,102.3
Top 40,96.7
Public,104.7
Public,88.3
Hot AC,94.1
Classic Rock,101.5
Top 40,95.5
Rock,95.1
Classic Hits,98.1
Top 40,101.1
Top 40,93.3
Classic Hits,93.1
Rock,96.7
Rock,94.1
A.C.,92.5
Country,96.1
Country,92.3
Urban,98.3
Hip Hop,93.1
Religious,88.1
Country,99.9
Religious,90.3
Classic Rock,100.1
Classic Hits,106.5
Hot AC,99.3
Classic Hits,99.1
Urban,100.7
Classic Rock,96.5
Adult Hits,105.9
Country,104.9
A.A.A.,106.7
Top 40,95.9
Country,94.5
Adult Hits,104.3
Top 40,92.9
Public,91.9
A.C.,93.3
A.A.A.,106.9
A.C.,105.5
Hot AC,96.1
A.C.,98.1
Variety,104.9
Country,95.1
Public,88.9
Country,92.1
Alternative,102.1
Chr. Contemp.,105.3
A.C.,104.9
Country,96.3
Country,92.5
Adult Hits,98.7
Classic Rock,92.1
A.C.,98.1
Hot AC,105.1
Country,106.1
Religious,93.9
A.A.A.,105.5
Classic Hits,95.9
College,91.7
Religious,90.7
Religious,88.1
Hot AC,99.1
Classic Rock,104.1
Country,100.3
Country,104.9
Hot AC,106.9
Top 40,106.9
Chr. Contemp.,102.5
Oldies,107.3
Classic Hits,103.1
Public,88.9
Classic Hits,94.9
Chr. Contemp.,90.1
Public,89.9
Sports,92.3
A.A.A.,91.1
Oldies,99.3
Sports,106.7
Rock,94.7
Country,104.9
Chr. Contemp.,90.5
Hot AC,92.7
Country,99.5
Country,106.3
Public,89.3
Top 40,107.1
Religious,88.5
Country,106.3
Classic Hits,97.7
Hot AC,98.5
Unknown,88.7
Country,94.3
Religious,91.7
Country,95.1
Classic Rock,102.3
Religious,91.7
Public,88.7
Adult Hits,100.1
Classic Hits,95.7
Hot AC,92.1
Oldies,94.5
A.C.,102.1
Classic Rock,105.3
A.C.,92.3
Country,104.1
Religious,91.3
Top 40,97.3
Rock,95.7
Public,90.3
Religious,102.7
News/Talk,99.9
A.C.,105.1
A.C.,96.3
Public,91.7
Religious,100.1
A.C.,107.3
Country,104.5
Classic Hits,97.9
Public,88.5
Public,89.1
Chr. Contemp.,91.3
College,91.7
College,90.5
College,91.7
News/Talk,97.5
Rock,96.1
Country,104.9
Sports,100.5
Classic Rock,94.5
Chr. Contemp.,103.9
Public,89.7
Public,89.7
Public,90.9
Classic Hits,103.9
Religious,90.5
Religious,90.1
Religious,98.9
Religious,107.7
Religious,89.9
Country,101.1
Religious,88.9
Country,102.3
Public,90.7
Adult Hits,92.1
Religious,88.1
Rock,105.9
Chr. Contemp.,103.7
Country,99.7
Chr. Contemp.,101.5
Country,106.3
College,89.9
Alternative,96.9
Sports,105.7
Hot AC,104.5
Public,91.7
Public,91.9
Country,95.3
Top 40,103.7
Talk,92.1
Hot AC,96.1
Adult Hits,94.3
A.A.A.,88.9
Religious,92.9
Country,106.5
Religious,90.9
Top 40,104.1
Rock,94.7
Public,88.5
Chr. Contemp.,88.9
Religious,89.5
Religious,89.7
Religious,89.7
Chr. Contemp.,91.1
Public,91.5
Public,91.9
Chr. Contemp.,91.9
Chr. Contemp.,92.3
Classic Hits,92.1
Classic Hits,93.1
Country,93.1
Country,98.7
Gospel,93.5
Talk,93.7
Chr. Contemp.,93.9
Sports,94.1
Top 40,94.1
Chr. Contemp.,94.9
News/Talk,95.7
Oldies,95.3
Oldies,95.3
Top 40,96.3
Classic Hits,96.5
Religious,96.7
Religious,96.7
Gospel,96.7
Country,97.3
Chr. Contemp.,97.5
Classic Hits,98.1
Chr. Contemp.,98.1
Classic Hits,98.3
Rock,98.5
Country,98.9
Rock,99.3
Gospel,100.9
News/Talk,101.1
Country,101.5
News/Talk,101.7
News/Talk,93.5
Talk,102.5
Country,102.7
Gospel,103.3
Variety,103.5
Unknown,103.7
Gospel,104.1
Gospel,104.1
Sports,104.5
Talk,104.5
Country,104.9
Talk,106.5
News/Talk,106.7
Classic Rock,106.9
Public,107.3
Gospel,107.7
Gospel,107.9
Chr. Contemp.,107.9
Hot AC,100.3
Talk,103.3
Classic Rock,106.3
Classic Hits,94.1
Religious,91.9
Country,101.3
News/Talk,93.5
Chr. Contemp.,88.7
Country,99.5
Classic Hits,107.1
Chr. Contemp.,89.9
Country,98.3
Top 40,103.7
Rock,100.1
Top 40,92.9
Country,97.1
Classic Hits,92.9
Classic Hits,100.1
Country,98.9
A.C.,100.5
Rock,107.5
Country,101.7
Classic Hits,94.7
Gospel,107.9
A.C.,104.1
Classic Rock,102.3
K-12,90.7
Classic Hits,93.1
Oldies,107.7
Country,99.1
Country,92.7
College,91.5
Country,102.7
Hot AC,104.5
Rock,103.1
K-12,106.7
Country,107.7
Gospel,88.1
Country,99.5
Adult Hits,107.3
Oldies,93.3
Top 40,100.5
Chr. Contemp.,88.1
Country,97.9
Rock,105.1
Country,96.7
Classic Rock,100.9
Top 40,92.7
Classic Rock,105.5
Chr. Contemp.,93.3
A.C.,97.3
Country,96.1
Chr. Contemp.,90.7
Religious,89.7
A.C.,97.5
Top 40,97.9
Religious,90.5
Sports,102.3
College,88.1
Classic Hits,100.9
Variety,88.5
Hot AC,103.9
Religious,89.7
Rock,105.7
Variety,96.3
Religious,105.3
Country,98.7
Country,104.9
K-12,91.9
Chr. Contemp.,91.1
Chr. Contemp.,91.5
Chr. Contemp.,88.7
Religious,90.1
College,91.3
Country,97.5
Adult Hits,103.7
Top 40,94.1
Hot AC,95.3
Hot AC,95.3
Classic Rock,94.3
Country,103.1
Rock,96.5
A.C.,93.9
A.C.,93.9
K-12,91.5
Hip Hop,98.7
Classic Rock,106.1
College,89.7
Religious,91.3
Hot AC,95.9
News/Talk,95.7
News/Talk,95.7
Chr. Contemp.,103.3
Country,103.3
Country,105.9
Oldies,105.5
Chr. Contemp.,88.7
A.C.,99.9
Top 40,101.9
Country,100.7
Public,88.5
Public,91.7
Public,89.5
Public,88.9
Public,88.9
Gospel,89.7
Public,106.7
Country,100.1
Variety,91.9
Public,89.9
Public,89.9
A.C.,101.9
Public,88.5
Public,90.3
Public,90.9
Public,88.9
Country,104.7
Chr. Contemp.,88.1
Oldies,107.7
Country,104.1
Top 40,102.7
A.C.,96.9
College,92.1
Public,89.3
Public,89.9
Chr. Contemp.,89.3
A.C.,106.5
College,91.7
Gospel,90.9
Country,101.5
Country,96.5
